Org;Type_Org;Date_demande;Type_data;Data_pairing;Title;Technical_instruction;Decision;Date_Decision;Status;Inclusion;Exclusion_reason;Specialty;Study_design;Disease or event
CHU;Recherche publique;mars-19;Enquˆtes;Non;TrajectOb : gestion des trajectoires complexes dans la prise en charge de l'ob‚sit‚. Analyse qualitative, crois‚e, des points de vue profanes et professionnels;Oui;Oui;mai-19;INDS;0;Survey without pairing with national data;;;
CHU;Recherche publique;fevrier 2019;Extraction SNDS;Non;Fr‚quence, facteurs de risque et strat‚gies de prise en charge de la maladie thromboembolique veineuse chez les patients pris en charge pour un cancer en France.;Non;Oui;mars-19;INDS;1;;Cardiology;Longitudinal study;Oncology
CHU;Recherche publique;;Enquˆtes;Non;tude ‚pid‚miologique du recours aux th‚rapeutes non professionnels de sant‚ dans la population g‚n‚rale en IsŠre;Non;Hors champs;;INDS;0;Survey without pairing with national data;;;
Association loi 1901;Recherche publique;mars-19;Dossiers m‚dicaux;Non;‚tat de sant‚  des demandeurs d'asiles en Guyane Fran‡aise;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;janv-19;Dossiers M‚dicaux;Non;Recherche de donn‚es r‚trospectives ‚pid‚miologiques et cliniques sur dossier patients dans le cadre d'une thŠse de m‚decine (psychiatrie);Oui;Oui;fevrier 2019;INDS;0;EHR without pairing with national database;;;
Association loi 1901;Recherche priv‚e;fevrier 2019;Extraction SNDS;Oui;FRESH |ÿSNDS - Enrichissement du registre ® FRESH ¯ via un appariement avec le SystŠme National des Donn‚es de Sant‚;Oui;Oui;mai-19;INDS;1;;Cardiology;Longitudinal study;Heart failure
Universit‚ / Ecole;Recherche publique;janv-19;Enquˆtes;Non;Strat‚gie de communication des internes en m‚decine g‚n‚rale face au refus de soin;Non;Hors champs;;INDS;0;Survey without pairing with national data;;;
CHU;Recherche publique;janv-19;Cohorte;Non;Caract‚risation mol‚culaire des tumeurs gliales et glioneuronales de bas grade de l?enfant et de l?adulte: identification et d‚tection de biomarqueurs diagnostiques et pronostiques;Non;Hors champs;;INDS;0;Cohort without pairing with national data;;;
Bureau d'‚tude;Recherche priv‚e;janv-19;Extraction SNDS;Non;Parcours de soins des patients atteints de n‚phropathie diab‚tique en France;Oui;Oui;fevrier 2019;INDS;1;;Nephrology;Longitudinal study;Diabetes
CHU;Recherche publique;janv-19;Dossiers M‚dicaux;Non;Manifestations cutan‚es du syndrome de Blau;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
Universit‚ / Ecole;Recherche priv‚e;juin-18;Extraction SNDS;Non;Fusions et acquisitions et sant‚ mentale des employ‚s;Oui;Oui;decembre 2018;INDS;1;;Occupational Medicine;Longitudinal study;
Industriel sant‚;Recherche priv‚e;mars-18;Extraction SNDS;Non;Gestion et co–ts des patients atteints d'h‚mophilie A en France;Oui;Oui;mai-18;INDS;1;;Haematology;Longitudinal study;Hemophilia
CLCC;Recherche publique;janv-19;Dossiers m‚dicaux;Non;Transposition testiculaire avant radioth‚rapie externe en p‚diatrie : Techniques, int‚rˆts dosim‚triques et ‚valuation de l?impact sur le d‚veloppement pubertaire et la fertilit‚;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
Industriel sant‚;Recherche priv‚e;nov-18;Extraction SNDS;Non;Granulomatose avec polyang‚ite (GPA) et micropolyang‚ite (MPA) : prise en charge th‚rapeutique et fardeau ‚conomique de la prise en charge.;Oui;Oui;decembre 2018;INDS;1;;Cardiology;Longitudinal study;
Industriel sant‚;Recherche priv‚e;janv-19;Dossiers m‚dicaux;Non;Extraction de donn‚es de dossiers ‚lectroniques de pharmacie hospitaliŠre visant … ‚valuer l?utilisation de Kyprolis© en vie r‚elle ;Oui;Oui;fevrier 2019;INDS;0;EHR without pairing with national database;;;
Agences;MinistŠre/Agences;janv-19;Autres;Non;Etude de recherche PRISME : PR‚vention et Impact de l?exposition Solaire sur le littoral MEdit‚rran‚en;Oui;Oui;fevrier 2019;INDS;0;Ad hoc study without pairing with national data;;;
CHU;Recherche publique;janv-19;Extraction SNDS;Non;Evaluation de l?utilisation des benzodiaz‚pines dans le traitement des ‚pilepsies de l?enfant en France et de ses cons‚quences;Oui;Oui;fevrier 2019;INDS;1;;Neurology;Pharmacoepidemiology;Epilepsia
Plateforme sant‚;Recherche priv‚e;oct-18;PMSI seul;oui;GUIDHOSPI, Analyse de la base nationale PMSI detenue par l?ATIH avec le fichier de chaŒnage ANO;Oui;Oui;oct-18;INDS;1;;Public health;Longitudinal study;
Industriel sant‚;Recherche priv‚e;fevrier 2019;Dossiers m‚dicaux;Non;"Une cohorte r‚trospective observationnelle sur le L‚nalidomide en monoth‚rapie dans le traitement du lymphome diffus … grandes cellules B en rechute ou r‚fractaire (LDGCB R/R) afin de g‚n‚rer un contr“le historique pour l?essai clinique MOR208C203
(An Observational Retrospective Cohort Study of Lenalidomide Monotherapy in Relapse and Re-fractory Diffuse Large B-Cell Lymphoma (R/R DLBCL) to Generate a Historical Control for Clinical Trial MOR208C203)";Oui;Oui;mars-19;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;janv-19;Dossiers M‚dicaux;Non;Incidence des cancers autour de l'unit‚ de valorisation ‚n‚rg‚tique de Nice-L'Ariane;Oui;Oui;mars-19;INDS;0;EHR without pairing with national database;;;
Universit‚ / Ecole;Recherche publique;fevrier 2019;Autres;Non;Impact sur l?adh‚rence au d‚pistage du cancer du col de l?ut‚rus de l?envoi par les m‚decins traitants d?une notification de non-participation … leurs patientes non … jour.;Non;;;INDS;0;Ad hoc study without pairing with national data;;;
CHU;Recherche publique;nov-18;C‚pidc seul;Oui;H‚morragie digestive par envahissement tumoral au cours de l?ad‚nocarcinome du pancr‚as non r‚s‚cable : pr‚valence, causes, pr‚sentation clinique et endoscopique, et efficacit‚ potentielle de la radioth‚rapie h‚mostatique: ‚tude r‚trospective de 78 patients;Oui;Oui;fevrier 2019;INDS;1;;Gastroenterology;Longitudinal study;Oncology
Association loi 1901;Recherche publique;janv-19;Enquˆtes;Non;IDB Cancer and serious infections in Europe;Oui;Oui;fevrier 2019;INDS;0;Survey without pairing with national data;;;
M‚dia;Autres;decembre 2017;PMSI seul;Non;H“pitaux et cliniques. Le palmarŠs 2018;Oui;Oui;janv-18;INDS;1;;Public heatlth;Transversal study;
M‚dia;Recherche priv‚e;nov-18;PMSI seul;Non;H“pitaux et cliniques. Le palmarŠs 2019, puis 2020, et enfin 2021;Oui;Oui;decembre 2018;INDS;1;;Public heatlth;Transversal study;
Agences;MinistŠre/Agences;fevrier 2019;Enquˆtes;Non;Arrets de travail et maintien dans l'emploi;Non;Hors champs;;INDS;0;Survey without pairing with national data;;;
Universit‚ / Ecole;Recherche publique;fevrier 2019;Dossiers m‚dicaux;Non;Intelligence Artificielle pour l?Aide … la D‚cision M‚dicale en Oncog‚riatrie;Oui;Oui;avr-19;INDS;0;EHR without pairing with national database;;;
Bureau d'‚tude;Recherche priv‚e;oct-18;PMSI seul;Oui;HospiLink GHT, suivre les projets m‚dicaux, ‚tudier les parcours, optimiser l'activit‚;Oui;Oui;decembre 2018;INDS;1;;Public health;Longitudinal study;
Bureau d'‚tude;Recherche priv‚e;sept-18;PMSI seul;non;ICSPECIC - Identification de Cohortes Sp‚cifiques aux Protocoles d?tudes par Sites d?Investigations Cliniques ;Oui;Oui;oct-18;INDS;1;;Methods;;
CHU;Recherche publique;fevrier 2019;Dossiers m‚dicaux;Non;Transfusion globulaire et plaquettaire aux urgences, ‚tude r‚trospective multicentrique;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
CNAM;CNAM;20161229;Extraction d'un ‚chantillon;Non;Identification de d‚serts m‚dicaux en France m‚tropolitaine - Extension de l'historique;Termin‚e;Approbation;20170118;IDS;1;;Public health;Descriptive;
Universit‚ / Ecole;Recherche publique;fevrier 2019;Dossiers M‚dicaux;Non;The European Rare Kidney Disease Registry   A Collaborative Project of the ERA-EDTA Workgroup for Inherited Kidney Diseases (WGiKD) and the European Rare Kidney Disease Reference Network (ERKNet);Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;janv-19;Dossiers M‚dicaux;Non;Construction et validation d'un outil de r‚p‚rage automatique des parcours de soins … risque de sub-optimalit‚ dans la prise en charge des infections s‚vŠres de l'enfant;Oui;Oui;mars-19;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;avr-19;Dossiers M‚dicaux;Non;Etude r‚trospective de la prise en charge des fibrillations auriculaires en r‚animation;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;juin-19;C‚pidc seul;Oui;Identification de nouveaux marqueurs g‚n‚tiques du risque de r‚cidive de maladie thromboembolique veineuse par analyse g‚nome entier : Etude cas-contr“le nich‚e dans la population MARTHA _ MARTHA-R‚cidive 2;Oui;Oui;juil-19;INDS;1;;Cardiology;Longitudinal study;Thrombosis
CLCC;Recherche publique;mai-19;Dossiers M‚dicaux;Oui;Identification des facteurs pr‚dictifs de r‚cidive d'un cancer du sein … r‚cepteurs hormonaux positifs aprŠs 5 ans d'utilisation de l'inhibiteur de l'aromatase et d‚veloppement d'un outil pr‚dictif. Une analyse de 1107 femmes de la base de donn‚es de l'ICO.;Oui;Oui;juil-19;INDS;1;;Gynecology;Longitudinal study;Oncology
Association loi 1901;Recherche publique;fevrier 2019;Dossiers m‚dicaux;Non;Etude ‚pid‚miologie nationale sur l?‚volution clonale et pronostic des patients atteints d?h‚mopathies my‚lo‹de avec mutation(s) DDX41;Oui;Oui;mai-19;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;juil-19;Dossiers m‚dicaux;Non;Projet Caropillaire;Non;Non;;INDS;0;EHR without pairing with national database;;;
HEVA;Autres;20170324;Extraction d'un ‚chantillon;non;Identification et valorisation ‚conomique des ressources consomm‚es dans le cadre de l'alimentatin des donn‚es en vie r‚elle des modŠles ‚conomique et des modŠles d'impact budg‚taire;Termin‚e;Autres;20170411;IDS;1;;Public health;Economics;
Industriel de sant‚;;02  09  19;PMSI national;;IDESIA;;;;MR006;1;;Methods;;
Universit‚ / Ecole;Recherche publique;mars-19;Dossiers M‚dicaux;Non;ThŠse de m‚decine g‚n‚rale pour l'obtention du dipl“me de Docteur en m‚decine g‚n‚rale.  Etude du taux de patients polytoxicomanes pour lesquels une recherche de complications somatique est effectu‚e par le m‚decin g‚n‚raliste.;Oui;Oui;juil-19;INDS;0;EHR without pairing with national database;;;
Association loi 1901;Recherche publique;mai-18;Extraction SNDS;Oui;IFCT-1502 CLINIVO-SNDS : Evaluation des interactions m‚dicamenteuses et suivi des patients porteurs d?un cancer pulmonaire non … petites cellules (CBNPC) trait‚s par nivolumab dans le cadre de l?ATU;Oui;Oui;juin-18;INDS;1;;Pneumology;Pharmacoepidemiology;Lung cancer
CHU;Recherche publique;mars-19;Enquˆtes;Oui;ETUDE SMARTDERM : mise en place de la t‚l‚expertise dermatologiques dans les zones de d‚prises m‚dicales : Lot Et Garonne, Deux SŠvres, Creuse, via l'application PAACO/Globule;Non;Hors champs;;INDS;0;Not approuved;;;
CLCC;Recherche publique;fevrier 2019;Dossiers m‚dicaux;Non;ECLIPSE - Evaluation de la s‚curit‚ carcinologique du lipofilling dans le cadre des reconstructions mammaires imm‚diates post-traitement radical d?un cancer du sein;Oui;Oui;mars-19;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;fevrier 2019;Dossiers m‚dicaux;Non;L?augmentation des doses de ?-lactamines permet-elle de r‚duire le taux d?‚chec th‚rapeutique et d?infection r‚cidivante chez les patients pr‚sentant une hyperclairance r‚nale trait‚s pour un premier ‚pisode de pneumopathie associ‚e aux soins ?;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;fevrier 2019;Dossiers M‚dicaux;Oui;Brain MRI features and scoring of leukodystrophy in adult-onset Krabbe disease;Non;Hors champs;;INDS;0;Not approuved;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;10  09  19;PMSI national;;Immuno Eco;;;;MR005;0;Incomplete data;;;
CHU;Recherche publique;nov-18;Extraction SNDS;Oui;Impact … un an, 3 ans et 5 ans de la parathyro‹dectomie pour hyperparathyro‹die primaire sur la diminution ou non des risques cardiovasculaires, osseux et de troubles psychologiques versus une surveillance m‚dicale. ;Oui;Oui;mars-19;INDS;1;;ENT;Longitudinal study;
Industriel sant‚;Recherche priv‚e;mars-19;Dossiers M‚dicaux;Non;Etude portant sur les endoprothe?ses aortiques thoraciques dans le traitement des pathologies de l?aorte thoracique descendante. Evaluation de l?endoprothe?se de la Socie?te? Cook Medical ;Oui;Oui;avr-19;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;fevrier 2019;Cohorte;Non;URGO-PPS-SP:  Depuis le service des URGences, Observation des Parcours Personnalis‚s de Soins de patients relevant des Soins Palliatifs;Non;Hors champs;;INDS;0;Cohort without pairing with national data;;;
EPST;Recherche publique;fevrier 2019;PMSI seul;Non;Impact causal de la pollution atmosph‚rique sur la sant‚ des Fran‡ais;Oui;Oui;mars-19;INDS;1;;Public health;Longitudinal study;Environnemental health
CHU;Recherche publique;mars-19;Dossiers M‚dicaux;Non;Comparaison Thymoglobuline© versus Grafalon© en transplantation renale;Non;;;INDS;0;EHR without pairing with national database;;;
EPST;Recherche publique;avr-19;PMSI seul;Non;Impact causal de la pollution atmosph‚rique sur la sant‚ des Fran‡ais;Oui;Oui;mai-19;INDS;0;Double;;;
ESPIC;Recherche priv‚e;avr-19;Dossiers M‚dicaux;Non;Etude r‚trospective multicentrique de vie r‚elle sur l?‚valuation de la prescription et de l?utilisation du test Oncotype DX © pr‚dictif de r‚ponse … la chimioth‚rapie.;Oui;Oui;mai-19;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;fevrier 2019;Dossiers M‚dicaux;Non;Identification de facteurs pr‚dictifs de s‚v‚rit‚ des papillomatoses respiratoires r‚currentes juv‚niles.;Oui;Oui;avr-19;INDS;0;EHR without pairing with national database;;;
Association loi 1901;Recherche publique;avr-18;Extraction SNDS;Oui;Impact d?un programme de t‚l‚-monitoring pour les patients souffrant d?insuffisance cardiaque en Normandie (programme SCAD (Suivi Clinique … Domicile)) sur la mortalit‚, les r‚-hospitalisations et les co–ts.;Oui;Oui;mai-18;INDS;1;;Cardiology;Longitudinal study;Medical device
CHU;Recherche publique;;Registres;Non;Fistulisation des Infection Ost‚o-Articulaire sur ProthŠse;Non;;;INDS;0;Register without pairing with national data;;;
CHU;Recherche publique;mars-19;Dossiers M‚dicaux;Non;Primo infection … Parvovirus B19 et atteintes r‚nales;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;mars-19;Dossiers M‚dicaux;Non;Quels ont ‚t‚ les obstacles/difficult‚s d?une fin de vie … domicile de patients en soin palliatif terminal, d‚c‚d‚s aprŠs leur admission aux urgences, ‚tude qualitative auprŠs des aidants concern‚s.;Non;;;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;juin-18;Extraction SNDS;Oui;Impact d?une concertation entre m‚decin coordonnateur et m‚decin traitant sur l?optimisation de la prescription m‚dicamenteuse pour chaque r‚sident entrant en EHPAD. ETUDE OPTIM-EHPAD;Oui;Oui;juil-18;INDS;1;;Public health;Pharmacoepidemiology;
Autres;Recherche priv‚e;mars-19;Autres;Non;Efficacit‚ de la magn‚sie (chlorydrate de magnesium) sur la dur‚e de tenue de prise en escalade;Non;Hors champs;;INDS;0;Ad hoc study without pairing with national data;;;
CHU;Recherche publique;juil-19;Extraction SNDS;Non;Impact d?une prise en charge en unit‚ sp‚cialis‚e sur la survie et les s‚quelles de l?infarctus m‚sent‚rique: une ‚tude … partir du Sniiram. ¯ SURVI EVAL;Oui;;;INDS;1;;Gastroenterology;Longitudinal study;Mesenteric ischemia
CHU;Recherche publique;mai-19;Dossiers M‚dicaux;Non;"""Analyse descriptive des d‚p“ts d'urate dans les tissus mous et des destructions osseuses et articulaires en scanner bi‚nergie"": DECTGOUT";Oui;Oui;juin-19;INDS;0;EHR without pairing with national database;;;
Association loi 1901;Recherche priv‚e;fevrier 2019;Autres;Non;Trans et PrEP;Oui;Oui;mars-19;INDS;0;Ad hoc study without pairing with national data;;;
EPST;Recherche publique;ao–t-19;EGB;Non;Impact de la pollution atmosph‚rique sur la sant‚ des Fran‡ais;Oui;;;INDS;1;;Public health;Longitudinal study;Environnemental health
Autres;Recherche priv‚e;fevrier 2019;Autres;Non;thŠse en m‚decine : l'‚chographie modifie t-elle la prise en charge des patients ? ;Non;Oui;mai-19;INDS;0;Ad hoc study without pairing with national data;;;
Association loi 1901;Recherche priv‚e;fevrier 2019;Autres;Non;Trans et PrEP;Oui;Oui;mars-19;INDS;0;Ad hoc study without pairing with national data;;;
Industriel sant‚;Recherche priv‚e;mai-19;Dossiers m‚dicaux;Non;tude europ‚enne multicentrique prospective non interventionnelle d‚crivant l?efficacit‚ de la trabect‚dine + DLP pour le traitement du cancer de l?ovaire r‚cidivant (COR) chez des patientes pr‚c‚demment trait‚es par un m‚dicament anti-androgŠne;Oui;Oui;juin-19;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;fevrier 2019;Enquˆtes;Non;Acce?s aux soins des demandeurs d?asile en Bretagne : description, facteurs associe?s et leviers d?ame?lioration ;Oui;Oui;mars-19;INDS;0;Survey without pairing with national data;;;
Universit‚ / Ecole;Recherche publique;mars-19;PMSI seul;Non;Impact de la pollution atmosph‚rique sur la survenue de pouss‚es et le pronostic du lupus syst‚mique;Oui;Oui;avr-19;INDS;1;;Immunology;Longitudinal study;Environnemental health
CHU;Recherche publique;juin-18;Extraction SNDS;Oui;Impact de la PrAtique Transfusionnelle sur la MOrbi-mortalit‚ des patients de REanimation;Oui;Oui;juil-18;INDS;1;;Internal medicine;Longitudinal study;
CHU;Recherche publique;mars-18;Extraction SNDS;Non;Impact de la prescription sur ordonnance s‚curis‚e du zolpidem sur la consommation et le m‚susage des m‚dicaments s‚datifs - Etude ZORRO;Oui;Oui;avr-18;INDS;1;;Public health;Pharmacoepidemiology;
Bureau d'‚tude;Recherche priv‚e;avr-18;Extraction SNDS;Oui;Impact des entretiens pharmaceutiques anti AVK;Oui;Oui;oct-18;INDS;1;;Cardiology;Pharmacoepidemiology;Thrombosis
INSERM-CNRS;Recherche publique;mars-19;Cohorte;Non;Relations entre appartenance religieuse et pratique de l?allaitement maternel chez les femmes de la cohorte nationale ELFE;Oui;Non;;INDS;0;Cohort without pairing with national data;;;
Universit‚ / Ecole;Recherche publique;sept-17;Extraction SNDS;Non;Impact des pratiques agricoles recourant aux pesticides sur la sant‚ du voisinage;Oui;Oui;fevrier 2018;INDS;1;;Public health;Longitudinal study;Environnemental health
Autres;Recherche publique;mai-18;Extraction SNDS;Oui;Impact des traitements anti-infectieux et des cortico‹des sur l?efficacit‚ de deux immunoth‚rapies : nivolumab et pembrolizumab;Oui;Oui;sept-18;INDS;1;;Infectiology;Pharmacoepidemiology;Hepatitis C
Industriel sant‚;Recherche priv‚e;fevrier 2019;Autres;Non;Personalised Reimbursement Model PRM;Oui;Oui;juin-19;INDS;0;Ad hoc study without pairing with national data;;;
CHU;Recherche publique;mai-19;Extraction SNDS;Oui;Impact m‚dico-‚conomique du d‚pistage syst‚matique des pathologies cardiaques critiques par l?oxym‚trie de pouls chez le nouveau-n‚ asymptomatique. Etude OXYNAT;Oui;Oui;juin-19;INDS;1;;Pediatry;Economics;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;04  09  19;PMSI national;;Implantation of carmustine wafers (Gliadel©) for high grade glioma treatment. A retrospective 10-year nationwide descriptive study and survival study.;;;;MR005;1;;Neurology;Pharmacoepidemiology;Oncology
CHU;Recherche publique;janv-18;Dossiers m‚dicaux;Oui;Implication de la coagulation intravasculaire diss‚min‚e dans le choix et la survie des greffons en  transplantation r‚nale;Oui;Oui;juil-19;INDS;1;;Nephrology;Pharmacoepidemiology;Transplantation
Autres;Recherche priv‚e;fevrier 2019;Dossiers M‚dicaux;Oui;Evaluation de la mesure ‚chographique de l'excursion diaphragmatique comme facteur pr‚dictif de la n‚cessit‚ d?intubation oro-trach‚ale chez le patient BPCO en d‚tresse respiratoire aigu‰ aux urgences.;Non;Hors champs;;INDS;0;Not approuved;;;
INSERM-CNRS;Recherche publique;fevrier 2018;Extraction SNDS;Oui;Incidence et mortalit‚ pour cancer aprŠs perte de poids massive: une ‚tude nationale sur bases des donn‚es administratives.;Oui;Oui;mars-18;INDS;1;;Oncology;Longitudinal study;
Universit‚ / Ecole;Recherche publique;mai-19;PMSI seul;Non;Incidence et son ‚volution temporelle des malformations cong‚nitales dans le Rhin Sup‚rieur;Oui;Oui;juin-19;INDS;1;;Pediatry;Longitudinal study;Perinatality
CHU;Recherche publique;mars-19;Dossiers M‚dicaux;Non;Validation fran‡aise d?une ‚chelle pr‚-hospitaliŠre de l?AVC isch‚mique en lien avec une occlusion d?une artŠre c‚r‚brale de large calibre : le score RACE.;Oui;Oui;avr-19;INDS;0;EHR without pairing with national database;;;
industriel sant‚;Recherche priv‚e;mars-18;Extraction SNDS;Non;Incidence, excŠs de mortalit‚ et fardeau des infections par Ad‚novirus chez l?enfant et l?adulte aprŠs allogreffe de cellules h‚matopo‹‚tiques en France;Oui;Oui;mars-18;INDS;1;;Haematology;Longitudinal study;Adenovirus
Universit‚ / Ecole;Recherche publique;mars-19;Autres;Non;Pratique des m‚decins g‚n‚ralistes aprŠs formation … l?‚chographie et acquisition d?un ‚chographe … La R‚union. ;Non;Hors champs;;INDS;0;Ad hoc study without pairing with national data;;;
CHU;Recherche publique;mai-19;Cohorte;Non;Suivi prospectif d?une cohorte de patients hospitalis‚s en r‚animation chirurgicale ;Oui;Oui;juin-19;INDS;0;Cohort without pairing with national data;;;
Universit‚ / Ecole;Recherche publique;mars-19;Enquˆtes;Non;Sensibilisation des usagers … la r‚sistance bact‚rienne et au bon usage des antibiotiques;Non;Hors champs;;INDS;0;Survey without pairing with national data;;;
Industriel sant‚;Recherche priv‚e;sept-18;EGB;non;Incidence, pr‚valence et fardeau du syndrome de l'oeil sec en France (IDEA);Oui;Oui;oct-18;INDS;1;;Ophtalmology;Longitudinal study;
CHU;Recherche publique;avr-19;Dossiers M‚dicaux;Non;Etude de la population p‚diatrique en situation de pr‚carit‚ consultant aux urgences. Le cas des urgences p‚diatriques de l?HFME … Lyon. ;Oui;Oui;mai-19;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;mars-19;Dossiers m‚dicaux;Non;Thrombose de la veine ovarienne: ‚tude descriptive r‚trospective clinico-biologique et th‚rapeutique en Loire-Atlantique  ;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
Industriel sant‚;Recherche priv‚e;mai-19;Dossiers M‚dicaux;Oui;European Register on Cushing?s Syndrome - ERCUSYN;Non;Hors champs;;INDS;0;Not approuved;;;
CHU;Recherche publique;mars-19;Dossiers M‚dicaux;Non;Pronostic du syndrome de d‚tresse respiratoire aigu‰ chez les patients avec cirrhose ? Une ‚tude observationnelle.;Oui;Oui;avr-19;INDS;0;EHR without pairing with national database;;;
CHU;Recherche publique;decembre 2018;Extraction SNDS;Oui;Indicateurs de qualit‚ de prise en charge en ville des patients insuffisants cardiaques et de  leurs  impacts sur la morbi-mortalit‚ des patients : INDIC-IC;Oui;Oui;janv-19;INDS;1;;Cardiology;Longitudinal study;
CHU;Recherche publique;mars-19;Dossiers m‚dicaux;Non;Etude ‚pid‚miologique et clinique observationnelle de la population hospitalis‚e dans les 10 Unit‚s pour Malades Difficiles de France;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
Industriel sant‚;Recherche priv‚e;mars-19;Dossiers M‚dicaux;Non;Etude sur les endoprothŠses couvertes fenˆtr‚es et branch‚es dans le traitement des an‚vrismes de l'aorte-‚valuation post-commercialisation des endoprothŠses couvertes fenˆtr‚es et branch‚es cook m‚dical;Oui;Oui;avr-19;INDS;0;EHR without pairing with national database;;;
Association loi 1901;Recherche publique;mars-18;PMSI seul;Non;Indicateurs de Sant‚ p‚rinatale dans le Grand-Est: ‚pid‚miologie, ‚volution et analyse … partir des donn‚es PMSI.;Oui;Oui;mai-18;INDS;1;;Pediatry;Descriptive;Perinatality
CLCC;Recherche publique;mai-19;Dossiers M‚dicaux;Non;Etude ANDAURA: Ad‚nocarcinomes pancr‚atiques : Etude des d‚terminants m‚dicaux et territoriaux de la prise en charge initiale et de leur impact pronostic en r‚gion Auvergne/Rh“ne-Alpes.;Oui;Oui;mai-19;INDS;0;EHR without pairing with national database;;;
Association loi 1901;Recherche priv‚e;avr-19;Dossiers M‚dicaux;Non;Etat des lieux de la prise en charge th‚rapeutique des carcinomes ad‚nosquameux et ‚pidermo‹des du pancr‚as;Non;Hors champs;;INDS;0;EHR without pairing with national database;;;
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;24  10  18;PMSI national;;In‚galit‚s d?accŠs aux soins et concurrence non tarifaire entre ‚tablissements de sant‚ en France;;;;MR005;1;;Public health;Economics;
CHU;Recherche publique;mars-19;Dossiers M‚dicaux;Non;"Efficacit‚ de l?unit‚ de M‚decine d?Urgence de la Personne ¶g‚e (MUPA) chez les personnes ƒg‚es atteintes de troubles neurocognitifs (TNC) : cohorte historique	";Oui;Oui;juil-19;INDS;0;EHR without pairing with national database;;;
INSERM-CNRS;Recherche publique;juil-19;Extraction SNDS;Oui;Influence de la consommation des m‚dicaments sur le risque d'accident de la route: Etude CESIR-A;Oui;;;INDS;1;;Public health;Pharmacoepidemiology;Traffic accident
Etablissement / F‚d‚ration de sant‚ (CHU, CHRU, CLCC, clinique, etc..ÿ);;13  03  19;PMSI national;;Influence de la pr‚carit‚ sur l?efficience et la balance financiŠre des h“pitaux MCO pour les s‚jours adultes;;;;MR005;1;;Public health;Economics;
CHU;Recherche publique;decembre 2018;Extraction SNDS;Non;Influence r‚elle du d‚pistage des multimorbidites et mesures pr‚ventives chez les patients atteints d?arthrite chronique a partir de la base nationale SNDS ;Oui;Oui;juil-19;INDS;1;;Rheumatology;Longitudinal study;
Autres;Recherche priv‚e;fevrier 2019;Extraction SNDS;Non;Initiation de traitements de seconde intention chez des patients atteints de rhumatisme psoriasique s‚vŠre et survenue d?‚vŠnements cardio-vasculaires graves : ‚tude de cohorte en ® vraie vie ¯ … partir des donn‚es du SNDS;Oui;Oui;avr-19;INDS;1;;Rheumatology;Pharmacoepidemiology;Psoriasis
Bureau d'‚tude;Recherche priv‚e;mars-19;Extraction SNDS;Oui;INSOMN-IA;Oui;Oui;mai-19;INDS;1;;Methods;;
CHU;Recherche publique;mars-18;Extraction SNDS;Non;Intitul‚ de l?‚tude : ® Evaluationÿm‚dico-‚conomique du projet de suivi des plaies chroniques par t‚l‚m‚decine dans les Œles de Saint- Martin, Saint Barth‚l‚my et Guadeloupe (caraŒbles fran‡aises) de type co–t-efficacit‚;Oui;Oui;fevrier 2019;INDS;1;;Public health;Pharmacoepidemiology;Medical device
INSERM-CNRS;Recherche publique;mars-19;Cohorte;Non;COhorte pour l?e?valuation des facteurs Structurels et INdividuels de l?USage de drogues ;Oui;Oui;avr-19;INDS;0;Cohort without pairing with national data;;;
CHU de Dijon;CHU;20150825;Extraction d'un ‚chantillon;Non;ISPAHAN-ACO : Indicateurs de S‚curit‚ des soins aux Personnes Ag‚es Hospitalis‚es en soins Aigus produits … partir des donn‚es m‚dico-admiNistratives hospitaliŠres et assurantielles - Taux d'accidents thrombo-emboliques ou h‚morragiques intra et post-hospitaliers associ‚s … une AntiCOagulation … vis‚e pr‚ventive ou curative;Termin‚e;Approbation;20151124;IDS;1;;Geriatry;Descriptive;
